X1,X2,X3,X4
40.40,16.07,87.48,133.93
84.48,22.55,85.48,59.84
57.97,12.54,106.40,55.90
50.92,15.50,87.10,49.65
61.88,16.18,92.88,53.71
79.21,41.47,79.19,126.60
65.74,29.19,103.34,151.54
35.24,74.22,88.72,42.18
106.99,13.82,93.81,40.26
65.07,9.65,96.64,120.67
72.09,9.82,89.52,136.97
47.34,19.34,104.96,128.76
64.63,14.66,94.03,124.57
40.86,29.50,91.97,127.86
55.25,14.31,92.23,116.27
46.77,13.80,90.57,127.80
63.17,36.39,88.91,127.64
40.12,11.37,84.44,133.31
49.34,47.44,72.40,127.49
95.56,13.41,92.93,126.33
66.51,10.23,99.53,141.54
37.38,30.60,105.87,120.68
48.27,12.69,103.63,126.81
36.79,13.69,109.26,35.43
112.86,11.35,88.70,121.66
104.54,32.95,89.80,130.40
